# stm32-ai-deployer watch trace v1
# board=STM32H7 elf= model=anomaly_cnn_int8 started=2026-09-09T12:41:08
# targetHz=200 items=6
# item,0,_end,0x20002c00,u32,hex,1,0,,bssEnd
# item,1,g_ai_last_inference_us,0x20000f24,u32,dec,0.001,0,ms,inferenceUs
# item,2,g_ai_infer_count,0x20000f20,u32,dec,1,0,,inferCount
# item,3,g_ai_last_class,0x20000f1c,u8,dec,1,0,,lastClass
# item,4,g_ai_last_confidence,0x20000f1b,u8,dec,1,0,%,confidence
# item,5,uwTick,0x20002aac,u32,dec,1,0,ms,hwTick
t,0,1,2,3,4,5
27.950510,745931122,926,66643,1,99,3135941
27.955595,745931122,926,66643,1,99,3135946
27.960484,745931122,926,66643,1,99,3135951
27.965486,745931122,926,66643,1,99,3135956
27.970491,745931122,926,66643,1,99,3135961
27.975487,745931122,926,66644,1,99,3135966
27.980529,745931122,926,66644,1,99,3135971
27.985534,745931122,926,66644,1,99,3135976
27.990623,745931122,926,66644,1,99,3135981
27.995545,745931122,926,66644,1,99,3135986
28.000655,745931122,926,66644,1,99,3135991
28.005496,745931122,926,66644,1,99,3135996
28.010497,745931122,926,66644,1,99,3136001
28.015503,745931122,926,66644,1,99,3136006
28.020057,745931122,926,66644,1,99,3136010
28.025056,745931122,926,66645,1,99,3136016
28.030051,745931122,926,66645,1,99,3136020
28.035034,745931122,926,66645,1,99,3136025
28.040076,745931122,926,66645,1,99,3136031
28.045550,745931122,926,66645,1,99,3136036
28.050552,745931122,926,66645,1,99,3136041
28.055534,745931122,926,66645,1,99,3136046
28.060520,745931122,926,66645,1,99,3136051
28.065179,745931122,926,66645,1,99,3136055
28.070176,745931122,926,66646,1,99,3136060
28.075162,745931122,926,66646,1,99,3136065
28.080170,745931122,926,66646,1,99,3136070
28.085182,745931122,926,66646,1,99,3136075
28.090198,745931122,926,66646,1,99,3136080
28.095187,745931122,926,66646,1,99,3136085
28.100191,745931122,926,66646,1,99,3136090
28.105190,745931122,926,66646,1,99,3136095
28.110430,745931122,926,66646,1,99,3136100
28.115203,745931122,926,66646,1,99,3136105
28.120172,745931122,926,66647,1,99,3136110
28.125173,745931122,926,66647,1,99,3136115
28.130135,745931122,926,66647,1,99,3136120
28.135227,745931122,926,66647,1,99,3136125
28.140165,745931122,926,66647,1,99,3136130
28.145121,745931122,926,66647,1,99,3136135
28.150128,745931122,926,66647,1,99,3136140
28.155164,745931122,926,66647,1,99,3136145
28.160151,745931122,926,66647,1,99,3136150
28.165184,745931122,926,66648,1,99,3136155
28.170174,745931122,926,66648,1,99,3136160
28.175182,745931122,926,66648,1,99,3136165
28.180129,745931122,926,66648,1,99,3136170
28.185513,745931122,926,66648,1,99,3136175
28.190439,745931122,926,66648,1,99,3136180
28.195466,745931122,926,66648,1,99,3136185
28.200450,745931122,926,66648,1,99,3136190
28.205467,745931122,926,66648,1,99,3136195
28.210454,745931122,926,66648,1,99,3136200
28.215443,745931122,926,66649,1,99,3136205
28.220649,745931122,926,66649,1,99,3136210
28.225496,745931122,926,66649,1,99,3136215
28.230474,745931122,926,66649,1,99,3136220
28.235607,745931122,926,66649,1,99,3136225
28.240470,745931122,926,66649,1,99,3136230
28.245486,745931122,926,66649,1,99,3136235
28.250584,745931122,926,66649,1,99,3136240
28.255500,745931122,926,66649,1,99,3136245
28.260515,745931122,926,66650,1,99,3136250
28.265496,745931122,926,66650,1,99,3136255
28.270520,745931122,926,66650,1,99,3136260
28.275790,745931122,926,66650,1,99,3136265
28.280806,745931122,926,66650,1,99,3136270
28.285723,745931122,926,66650,1,99,3136275
28.290384,745931122,926,66650,1,99,3136279
28.295890,745931122,926,66650,1,99,3136285
28.300892,745931122,926,66650,1,99,3136290
28.305893,745931122,926,66651,1,99,3136295
28.309932,745931122,926,66651,1,99,3136299
28.315954,745931122,926,66651,1,99,3136305
28.319974,745931122,926,66651,1,99,3136309
28.326032,745931122,926,66651,1,99,3136315
28.330913,745931122,926,66651,1,99,3136320
28.334902,745931122,926,66651,1,99,3136324
28.339909,745931122,926,66651,1,99,3136329
28.344937,745931122,926,66651,1,99,3136334
28.349909,745931122,926,66651,1,99,3136339
28.354917,745931122,926,66652,1,99,3136344
28.359952,745931122,926,66652,1,99,3136349
28.364923,745931122,926,66652,1,99,3136354
28.370448,745931122,926,66652,1,99,3136359
28.375439,745931122,926,66652,1,99,3136364
28.380416,745931122,926,66652,1,99,3136369
28.385428,745931122,926,66652,1,99,3136374
28.390422,745931122,926,66652,1,99,3136379
28.395476,745931122,926,66652,1,99,3136384
28.400452,745931122,926,66653,1,99,3136389
28.405664,745931122,926,66653,1,99,3136394
28.410627,745931122,926,66653,1,99,3136399
28.415687,745931122,926,66653,1,99,3136404
28.420911,745931122,926,66653,1,99,3136409
28.425641,745931122,926,66653,1,99,3136414
28.430629,745931122,926,66653,1,99,3136419
28.435648,745931122,926,66653,1,99,3136424
28.440732,745931122,926,66653,1,99,3136429
28.445262,745931122,926,66653,1,99,3136434
28.450309,745931122,926,66654,1,99,3136439
28.454940,745931122,926,66654,1,99,3136443
28.460044,745931122,926,66654,1,99,3136448
28.464919,745931122,926,66654,1,99,3136453
28.470634,745931122,926,66654,1,99,3136459
28.475628,745931122,926,66654,1,99,3136464
28.480689,745931122,926,66654,1,99,3136469
28.485807,745931122,926,66654,1,99,3136474
28.490219,745931122,926,66654,1,99,3136478
28.495164,745931122,926,66655,1,99,3136483
28.500157,745931122,926,66655,1,99,3136488
28.505191,745931122,926,66655,1,99,3136493
28.510189,745931122,926,66655,1,99,3136498
28.515188,745931122,926,66655,1,99,3136503
28.520560,745931122,926,66655,1,99,3136509
28.525552,745931122,926,66655,1,99,3136513
28.530562,745931122,926,66655,1,99,3136518
28.535586,745931122,926,66655,1,99,3136523
28.540567,745931122,926,66655,1,99,3136528
28.545198,745931122,927,66656,1,99,3136533
28.550197,745931122,927,66656,1,99,3136538
28.555116,745931122,927,66656,1,99,3136543
28.560072,745931122,927,66656,1,99,3136548
28.565065,745931122,927,66656,1,99,3136553
28.570642,745931122,927,66656,1,99,3136558
28.575637,745931122,927,66656,1,99,3136563
28.580687,745931122,927,66656,1,99,3136568
28.585666,745931122,927,66656,1,99,3136573
28.590795,745931122,927,66657,1,99,3136578
28.595644,745931122,927,66657,1,99,3136584
28.600690,745931122,927,66657,1,99,3136588
28.605680,745931122,927,66657,1,99,3136593
28.610740,745931122,927,66657,1,99,3136598
28.615669,745931122,927,66657,1,99,3136603
28.620646,745931122,927,66657,1,99,3136608
